CustomerID,Gender,Locations,Age
14722,Male,Chicago,28
14723,Male,Chicago,28
14724,Male,Chicago,37
14725,Male,Chicago,27
14726,Female,Chicago,62
14727,Female,Chicago,18
14728,Female,Chicago,35
14729,Female,Chicago,36
14730,Female,Chicago,50
14731,Female,Chicago,18
14732,Female,Chicago,17
15601,Female,Chicago,49
15602,Female,Chicago,19
15603,Female,Chicago,44
15604,Female,Chicago,48
15605,Female,Chicago,31
15606,Female,Chicago,49
15607,Female,New York,37
15608,Female,New York,26
15609,Female,New York,50
15610,Female,New York,59
15611,Female,New York,53
15612,Female,New York,36
15613,Female,New York,51
15614,Female,New York,20
15615,Male,New York,37
15616,Male,Chicago,37
15617,Male,Chicago,25
15618,Male,Chicago,26
15619,Male,Chicago,50
15620,Male,Chicago,63
15621,Female,California,47
15622,Female,California,29
15623,Female,California,52
15624,Female,Chicago,20
15625,Female,Chicago,38
15626,Female,Chicago,16
15627,Female,Chicago,42
15628,Female,Chicago,24
15629,Female,Chicago,26
15630,Female,Chicago,35
15631,Female,Chicago,46
15632,Female,Chicago,50
15633,Female,Chicago,28
15634,Female,Chicago,40
15635,Male,Chicago,48
15636,Male,Chicago,53
15637,Female,California,25
15638,Female,Chicago,58
15639,Female,Chicago,47
15640,Female,Chicago,39
15641,Female,Chicago,40
15642,Female,Chicago,20
17850,Male,Chicago,52
17851,Male,Chicago,49
17852,Male,Chicago,23
17853,Male,Chicago,26
17854,Male,Chicago,46
17855,Male,Chicago,21
17856,Male,Chicago,46
17857,Male,Chicago,30
17858,Male,Chicago,25
17859,Male,Chicago,48
17860,Male,Chicago,27
17861,Male,Chicago,46
17862,Male,Chicago,46
17863,Male,Chicago,62
17864,Male,Chicago,41
17865,Male,Chicago,62
